Id,SalePrice
2658,129460.417948466
2718,170479.79933022105
2414,201155.65563635173
1989,123626.45475738551
625,187404.4675097962
333,84691.39502348908
1327,111374.84334359829
858,152539.43924191064
95,178808.99730313395
1568,169030.29983110586
2482,153047.50043564415
1364,124833.24615392176
2584,152454.53089357275
818,281183.70619288244
2673,167066.30548981568
2089,137333.7627165321
1297,160348.09850432753
790,116219.43901028295
2616,218129.37327929147
720,182988.1189934572
222,133694.15487655465
557,120170.62570138356
1148,178193.71616094135
2766,182825.41335566484
534,186266.518185258
1452,118269.53978576894
630,131037.65401240907
2648,109835.06781198426
125,156564.31686259242
1904,34978.33491942377
1670,111057.34213709149
756,100866.5710888091
717,247633.30774656887
1032,157249.50784394596
852,210695.57945886004
1731,172928.08218138962
2639,131409.9339272508
2071,98978.26374892717
1267,104123.3473319847
1851,192500.31970000963
567,145733.71251101943
2439,206454.66424211403
1898,155568.03565473796
647,163451.95012443888
2256,222675.51743046643
979,98762.44281267443
1444,220243.591887383
2485,117479.71581636227
157,118404.84354260407
88,122057.41894418144
2003,109140.36048623714
186,203582.90623578714
1425,249462.5210603027
2695,126593.30622425556
738,103294.44126682909
395,149287.26402254438
1353,163815.0530014807
1878,150153.07224461206
390,171870.33490512465
1456,233973.18500648128
1103,315432.35684028146
1387,117741.95675623695
2070,148155.65501994986
1199,182099.00855687726
2479,179676.59747307567
501,304759.09986376826
2362,101986.12399633967
1718,197114.38781557087
2188,76211.04380563223
1483,160280.72615297395
2557,82736.91528581995
437,337144.80711149704
2224,200838.35214380635
1628,161802.33281530094
397,130513.73441857967
587,217597.14840533046
2182,616264.5917695559
971,157897.99194029873
2611,154333.74279352505
1887,101440.26205068058
2399,387535.6483840735
2148,206887.33252752974
304,139960.19322424085
1997,138917.27503266893
2817,112024.62768121772
1431,199150.276228927
427,362052.7293092662
263,124735.7619871925
598,189798.15380098106
2895,232967.18935360096
687,149583.66726668953
1822,134668.1028698702
2191,109906.84347511045
179,129083.01577776583
1009,207763.7633528208
2010,124415.83820252962
1991,144443.40733363514
1411,168378.52127704443
1721,213531.48783818306
1144,193941.966254278
593,217715.36682748894
575,328411.3513397984
1249,186390.97194785718
1604,129681.22138493853
1064,492006.5370538237
1923,159379.33083782461
1988,106879.94043376976
2325,169908.4256363647
114,201141.88916934177
2700,165175.31896030338
217,140995.18911573774
343,193164.61888608415
386,199834.96314859032
2005,127702.79885040419
2908,138361.66055076823
1814,231451.45705990045
2446,469951.1496808141
208,119341.9313068822
1679,113788.73399376462
822,371268.44673226867
6,192621.71847243694
1781,416639.18781607674
2397,268979.3788974581
2340,319202.33193609864
1618,173227.9124861364
2843,158893.82252599054
1061,360843.2154105004
2786,111222.8124981779
1935,129679.92816236777
1341,117510.26857004839
521,257075.67688878145
2136,136548.53048887092
996,215560.81280478538
227,149836.95606562673
135,190073.96174619842
1167,156715.18563999512
294,242264.48227141734
1776,189548.5715806623
540,164102.93968368066
1717,193924.1931864569
2303,115252.49955646085
116,189806.86957598393
127,122255.96492652291
1371,130233.43737854961
1014,167999.43043809469
1507,123716.70593747866
702,122726.7522182902
750,152576.1868240011
261,147647.58569287867
1559,69090.99938757907
577,212080.97988643718
2812,197848.21437674406
2080,158211.47668432712
1368,118143.38043639525
2376,117025.38481059138
659,101570.49047708712
1235,132918.0270722905
